s_no,experience,job_description,job_desig,job_type,key_skills,location,salary,company_name_encoded
271,2-4 yrs,,Assistant Manager Finance,,"Accounting Operations, Finance, Auditing, Payables...",Bengaluru,6to10,2795
272,5-10 yrs,You must balance a practical mindset with a creative business acumen and lead people through complex ...,"Growth Hackers, Digital & Tech Wizards for Mega Global Brand Play",Analytics,"IIT, IIM, Digital, Technology, Blockchain, IOT, AI, ML, Entrepreneur, B2B...",Mumbai(Powai),10to15,708
273,5-10 yrs,"""Equity Research Analyst in Institutional Broking.   - Interaction and maintaining relationships ...",Institutional Equity Reserach Analyst - Midcaps Sector - Broking,,"Institutional Equity Reserach Analyst, Equity Research...",Mumbai,15to25,2222
274,8-13 yrs,Liaison and coordinate with Business Head/Leadership Team and ensure corporate initiatives are ...,Senior Manager - HR ( Agency ),,"hr generalist, recruitment, agency, hr, exit management, vendor management,...",Gurgaon,10to15,4845
275,7-9 yrs,"- Experience in projects within digital space such as IoT, AI, cloud services, e-commerce etc;- Post ...","Assistant Manager/manager, Business Research & Advisory",,"Project Management, Client Management, Team Management, Strategy Consulting...",Mumbai,15to25,425
276,5-7 yrs,"- Understanding of metrics like conversion rate, visits, click through rate required;- Should be well ...",Digital Marketing Manager - Healthcare Platform,Analytics,"Digital Marketing, Keyword Research, Online Marketing, Google Analytics...",Bengaluru,10to15,871
277,9-12 yrs,Very good problem solving and analytical skills;9+ years experience in software development and ...,Cloudiq - Principal Software Engineer,,"Javascript, JSON, Angularjs, HTML, Rest, Java, Spring Framework, GIT, Front...",Bengaluru,10to15,1174
278,3-7 yrs,- Responsible for supporting architectural direction and component design for enterprise solutions built ...,Software Engineer - Web Content Management Solutions - AEM/ CQ5,,"JSON, Html5, Java, XML, Software Development, JSP, Aem, Cq5...",Pune,6to10,4389
279,8-12 yrs,"If re-location is required, company will provide guest house accommodation till settling down;Good ...",QA QC Manager,,"quality control, qc management, quality assurance, haccp...",Ratnagiri,6to10,4609
280,2-4 yrs,,AR Caller and Analyst- Medical Billing,,"AR Calling, Medical Billing, US Healthcare, Senior Ar Associate...",Bengaluru,0to3,3130
281,1-5 yrs,,Senior Accounts Manager- Developer Sales | Housing.com,,"corporate sales, b2b sales, B2B, business to business, leadgeneration...","Mumbai, Navi Mumbai",3to6,53
282,6-9 yrs,"Minimum 6 to 9 years with alteast 5 years in Data Analytics with Retail Banking( loan, cards;Academic ...",Data Analytics Manager ( Retail Banking) for Mumbai,Analytics,"SAS, R, Business Analytics, Predictive Modeling, Linear Regression...",Mumbai,6to10,116
283,10-14 yrs,"An exciting leadership job opportunity with a leading, global group with a strong foothold in specialty ...",Business Intelligence Manager - Finance (10-12 Yrs.),,"Financial Accounting, Mba Finance, Financial Management, Consolidation...",Mumbai,15to25,1054
284,7-12 yrs,"- Define product features and work closely with design, engineering and other teams for end-to-end ...",Product Manager,,"marketing, sales, design engineering, user experience, competitive analysis...",Bengaluru,10to15,4671
285,6-8 yrs,,Lead Data Analyst _ Bangalore,,"spss, statistical software, data analysis, sas, alteryx, tableau...",Bengaluru(Old Airport Road),10to15,3336
286,17-23 yrs,- Experience in natural language processing techniques and text analytics is a strong plus;- 20 years of ...,Data Scientist - Machine Learning Algorithms/java/big Data,Analytics,"Machine Learning, Data Analysis, Predictive Analytics, Algorithms, Python...",Bengaluru,25to50,2972
287,2-4 yrs,Having 7 to 9 years of full stack development experience for Android Applications;At least 3 Years ...,IOS Developer,,"Android, Agile Methodology, Product Life Cycle, Performance Analysis...",Pune(Kalyani Nagar),0to3,2145
288,0-5 yrs,,Home Base Job/ Data Entry/online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Ooty, Orai, Imphal, Idukki, Indore, Itanagar, Udaipur, Ujjain",3to6,1153
289,2-7 yrs,,Senior Business Analyst Required Under Govt Visa,,"Business Process Analysis, business analysis, business research...","Germany, Hong Kong",0to3,3499
290,3-6 yrs,3-6 relevant work experience in supporting Sales team and Engagement managers;- Experience working with ...,Senior Business Analyst/assistant Manager - Sales Support & Business D,,"sales support, marketing, presales, business intelligence, market research,...",Bengaluru,10to15,1969
291,2-5 yrs,"- 2- 5 years of development experience with Java, Scala, and/or Python;- Experience with writing and ...",Software Backend Engineer - Python/ AWS/ Mongodb,,"Java, NoSQL, MySQL, MongoDB, SCALA, Spark, Hadoop, Python, GIT, Mapreduce",Bengaluru,10to15,3319
292,7-10 yrs,- 7+ years of experience in working with multiple brands in digital media industry;- Experience in ...,Head - Brand Solutions,,"Marketing, Sales, Competitor Analysis, Market Research, Events, Region...",Gurgaon,10to15,4043
293,1-5 yrs,,ACN - Digital - Analytics - Marketing Analytics1,Analytics,"SAS, Consulting, Digital marketing, Econometrics, Regression analysis...",Gurgaon,6to10,190
294,7-12 yrs,- Responsible for advising and guiding on big data and analytics technology adoption programme within ...,Enterprise Evangelist - Big Data & Analytics Technology,Analytics,"Spark, Mapreduce, Big Data Analytics, SCALA, Data Integration...",Anywherein India,10to15,4125
295,3-8 yrs,  - A minimum of three years prior experience in a similar role;- A strong academic background ...,Trading Head - Market Making/ High Frequency Trading - Iit/nit/bits,,"High Frequency Trading, Trading, HFT, Quant, Trading Head, Market Making...",India,15to25,3319
296,6-10 yrs,Experience on design patterns or other design level situations is desired;Candidate should have ...,Senior Software Engineer _full Stack Dot Net Developer,,"Javascript, jQuery, WCF, PLSQL, MVC, Web development, Debugging...",Bengaluru,6to10,764
297,8-12 yrs,,Decision Analytics Manager - HEOR,Analytics,"heor, health economics, rwe, real world data, healthcare, pharma, analytics...",Pune,25to50,4904
298,1-2 yrs,,Looking for Marketing Analyst ( Having 1-2 Yrs of Experience),,"marketing analysis, market research, strategy, social media, data analysis,...",Delhi NCR(Sector-2 Noida),0to3,1827
299,2-4 yrs,,ARM Data Assurance,Analytics,"Accounting, General Ledger, Accounts Receivable, SQL, Data Analytics, Fraud...",Kolkata,0to3,3325
300,7-10 yrs,"1.	To assess the Learning needs and ensure all the training needs are aligned with the business ...",Deputy Manager - Learning & Development,,"employee engagement, hr, training, learning, Training Analysis...",Chennai(Mount Road),6to10,4246
301,3-6 yrs,Solid understanding and experience with descriptive analytics techniques and building guided analytical ...,Dell Digital Transformation - Analytics & Visualization Professional,Analytics,"Visualization, Analytics, MS SQL, Teradata, OLAP, ETL, Hadoop, Hive, Impala...",Bengaluru,3to6,1173
302,4-8 yrs,Should have an understanding of agile software development life cycle processes with DevOps experience ...,Senior Software Engineer_java Full Stack Developer,,"XML, HTML, Web services, Agile, JSON, CSS3, Front end, Version control, GIT...",Bengaluru,10to15,765
303,0-5 yrs,,Data Entry/home Base Job/ Online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","chitrakoot, etah, etawah, faizabad, fatehpur, hamirpur, hathras, jalaun, kannauj",3to6,1153
304,5-8 yrs,"You shall be responsible for design of various systems useful for test of Radars, Simulators and Active/P ...",RF Domain Expert,,"competitive analysis, interpersonal communication, rf testing, Radra Expert",Ahmedabad,10to15,4021
305,8-13 yrs,,Automation and Devops Architect,,"MySQL, NoSQL, Linux System Administration, Rackspace, Cassandra...",Pune,15to25,3394
306,1-5 yrs,1-3 years of experience in SEO / Digital Marketing is must;Any Graduate with Technical ...,Web Marketing Executive,,"Digital Marketing, SEO, Web Promotion, Web Marketing, Internet Marketing...",Pune,6to10,2098
307,4-8 yrs,- Experience sourcing and managing content development and publishing;- Makes evident good technical ...,Social Media Manager,,"Content Marketing, Advertising, Social Media Marketing, Twitter, Sales...",Mumbai,15to25,3610
308,3-5 yrs,Good understanding of General Ledger and its relation with Sub-ledger processes and Accounting workflow/C ...,Financial Analyst (CA),,"Management Accounting, Finance, US GAAP, IFRS, Financial Auditing...",Bengaluru(Whitefield),6to10,397
309,2-3 yrs,,Ca_financial Analyst,,"Financial Analysis, financial planning, budgeting, variance analysis...",Kolkata,0to3,4776
310,4-5 yrs,Good and fluent communication skills and Proficiency with MS-Office;Should have a knowledge of Handling ...,Sr.admin Executive,,"Travel Arrangements, Vendor Management, Office Management, Housekeeping...",Noida,3to6,2410
311,0-0 yrs,,"Medical Coding Job For Biology ,botany,zoology Graduates in Chennai",,"biology, zoology, botany, medical coding, medical coder...","Chennai, Salem, Trichy, Coimbatore, Vellore, Madurai",0to3,320
312,4-9 yrs,Candidate must have experience in open stack;Hands on experience on  Machine learning;Good experience on ...,Sr. Software Engineer,,"Pig, Hive, Hadoop, Spark, Big Data, Shell Scripting, Software Engineering","Mumbai, Pune",3to6,695
313,8-13 yrs,,Manager - Supplier Enablement  - GEP Mumbai,,"project management, procure to pay, source to contract, invoicing, accounts...",Mumbai,15to25,1687
314,6-9 yrs,,"HR Manager   - Field Rewards , Analytics &  Business Partnering",Analytics,"field rewards, HR analytics, business partners, HR consulting, Compensation...",Delhi NCR,15to25,4249
315,5-10 yrs,Experience with predictive & prescriptive statistical analysis ;Experience working within a Linux ...,Solutions Architect: Data Science,,"hive, spark, flume, cloudera, sqoop, hdfs, data science, big data, yarn...",Pune,10to15,2793
316,6-8 yrs,We are looking for a candidate who brings strong problem solving skills with a combination of solid ...,JAVA Groovy & Grails,,"Java, core java, Groovy, Grails",Bengaluru,15to25,2773
317,3-5 yrs,,Business Analyst - E Tendering,,"Business Analysis, E - Tendering, Bidding, Techno commmercial",Delhi NCR,3to6,2738
318,3-6 yrs,Working experience of 3+ years in supply chain analytics project delivery;Hands on experience in data ...,Data Scientist- Supply Chain,Analytics,"Predictive Analytics, Inventory Optimization, Demand Planning, R...",Pune,15to25,3692
319,2-5 yrs,Must be inclined to do market research on the industry.  ;Must have the curiosity to learn about stock ...,Communication Manager,,"social media, digital communication, content editor, content writer, nism...",Bengaluru,3to6,1480
320,8-12 yrs,"- Proficient in designing, developing, testing, performance tuning and debugging various BizTalk Server ...",Sr Biztalk Developer - C#/.net,,"C#, Biztalk Server, MSMQ, Entity Framework, WCF, Sharepoint Server, C#.Net,...",Bengaluru,15to25,3319
321,5-7 yrs,Experience in controlling information technology budget and deriving positive outcomes;Tech (Information ...,General Manager (IT),,"IT Infrastructure, Data Center Management, IT Management, IT Operations...",Gurgaon,6to10,4242
322,2-4 yrs,2-4 years of experience in project management or a similar functional role;Schedule meetings with CR& ...,Credit & Portfolio Analyst - Quality Assurance  - Cborc,,"Project management, PMP, Manager Quality Assurance, Quest, QA...",Mumbai,6to10,908
323,3-8 yrs,,"Urgent Requirement for BI Analytics, tool Tableau,bank Domain",Analytics,BI Analytics,Pune,6to10,4178
324,1-5 yrs,,SAP EAM Real Estate Management,Analytics,"Agile, Analytics, Business process, Outsourcing, Portfolio management...",Bengaluru,3to6,190
325,2-4 yrs,"Work experience of at least 1 years in an analytics role;Must have - Hands-on experience in Excel, SQL, ...",Analyst/senior Business Analyst - Excel/sql/r/python/tableau,analytics,"SQL, R, Python, Tableau, analytics, business intelligence, data analysis","Gurgaon, Gurugram",6to10,1483
326,5-9 yrs,This person must show ownership and be willing to take things to closure for the products;This person ...,Android Developer,,"java, android, object oriented design, nfc, threading...",Bengaluru,6to10,2339
327,10-15 yrs,,Senior Manager -costing,,"manufacturing industry, erp navision exposure, cost analysis...",Gurgaon(Sohna Road),0to3,1029
328,3-5 yrs,"Support UX team by providing business requirement specifications, design workshop notes/minutes, ...",Associate Product Manager,,"Product Strategy, Marketing, Sales, B2C, Product Management, B2B...",Bengaluru(6th block Koramangala),10to15,1780
329,6-10 yrs,At least 2+ years of experience in leading delivery teams for large-scale full-life cycle ...,Technology Consultant - Salesforce,Analytics,"salesforce, salesforce.com, force.com, solution architecture...",Bengaluru,15to25,4490
330,5-10 yrs,,Cost Accountant,,"Cost Accounting, Finance, Budgeting, Auditing, Product Costing...",Surat,6to10,3786
331,15-20 yrs,"o	Experience in writing proposals, coming up with solutions to address customers business needs, ...",Big Data Architect - Data and Analytics,Analytics,"Hadoop, Java, Data Science, Cloudera, Spark, Hive, Impala, Presales...","Delhi NCR, Noida",25to50,2058
332,3-5 yrs,,yardi report developer  ,,"real estate, accounts, development, rf, part time, technical support...","Chennai, chennai",6to10,3469
333,3-8 yrs, 1-8+ years of experience in statistical modeling risk analytics position. ; 1-8+ years ...,"Urgent - Avp,manager,analyst -(sas+stress Testing) in MNC at Hyderabad",analytics,"sas sql, r, statistical modeling, risk analytics, statistics...",Hyderabad,15to25,4777
334,3-8 yrs,"Qualifications & Experience in solving complex data problems, reusable, efficient and scalable code ...",Data Engineering Lead / Architect,,"Hadoop, Hive, Flume, Oozie, Sqoop, Hdfs, Spark, Pig, HBase, YARN, Avro...",Bengaluru,6to10,2637
335,2-6 yrs,,Work From Home_sr. Business Analyst_only Female_anywhere in India,,"Business Analyst, Senior Business Analyst, sr business analyst, sr ba","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Coimbatore",3to6,3125
336,5-10 yrs,- Experience designing and building cloud-native applications as well as Azure Cloud migration ...,Senior Data Engineer - Big Data/hadoop/python,,"Data Science, Hadoop, Machine Learning, Spark, Python, Hive, SQL Database...",Bengaluru,10to15,3204
337,2-7 yrs,,Specialist - Digital Marketing - Global NGO- Chennai,analytics,"google adwords, google analytics, email marketing...","Chennai, Chennai City",10to15,240
338,7-8 yrs,,Program Control Services,,"PMP, Outsourcing, Excel, Operations, Operations management...",Chennai,6to10,190
339,3-8 yrs,,Business Process Analyst,,"Business Process, Internal Audit, Six Sigma Black Belt",Chennai(Aminjikarai),3to6,4618
340,3-8 yrs,Candidate is expected to apply her/his knowledge of Java/Spring to develop 3 tier architecture ...,"Analyst/ Professional, S&IT",,"Java EE, Hibernate, Spring, Javascript, MySQL, Open Source...",Bengaluru,10to15,596
341,1-2 yrs,- 1-2 years of experience requred;Skill set required:;- SAS is a ...,SAS Analytics - Model Development/ CCAR - Banking Captive - IIM/ IIT,Analytics,"Lgd, Ccar, Risk Modeling, Banking, SAS, Model Development, Analytics, Ead...","Delhi NCR, Mumbai",10to15,1713
342,4-9 yrs,"Purchasing Managers, Logistics, Supply Chain, Procurement Manager required in Australia , Canada & ...","Purchasing Manager req in Australia, Canada & Germany",,"procurement management, logistics, supply chain, market analysis...","Canada, Australia, Germany, Dubai/ UAE, New Zealand, Hong Kong",25to50,2692
343,1-3 yrs,,Job Opening for PPC Executive | Travel Domain ,,"Online Marketing, Excel, PPC, CPA, Analytical Skills, US Inbound sales...",Delhi NCR(Sector-59 Noida),0to3,3732
344,7-12 yrs,Experience leading teams of size 5-15 members;Very good knowledge of statistical techniques such as ...,Assistant Vice President - Acquisition Strategy - Analytics - Bank,Analytics,"Acquisition Strategy, Analytics, strategy, clustering, segmentation...","Delhi NCR, Gurgaon",25to50,1988
345,5-10 yrs,"- Hands on experience in statistical techniques like logistic regression, clustering, segmentation etc ...",Senior Manager/avp - Travel & Logistics Analytics - Credit Card/bankin,Analytics,"R, Logistic Regression, SAS, Machine Learning, Segmentation, Python...",Gurgaon,15to25,1970
346,4-9 yrs,Experience handling marketing budgets and forecasting/reporting results;Outstation candidates first ...,"Digital Marketing Manager, Chennai",Analytics,"Digital Marketing, Social Media Marketing, Google Analytics, Google AdWords...","Bengaluru, Chennai, Hyderabad",10to15,1043
347,0-0 yrs,All Fresher Graduates with less than 1 year of experience may apply;Skills Required: ...,Tracxn - Researcher /  Market Research Analyst - Fresher - Bangalore,,"research, market research, business research, company profiling...",Bengaluru,0to3,4474
348,1-2 yrs,"Demonstrable experience in Equity Research, Financial Analysis, Credit Analyst for corporate loans and ...",Junior Analyst | Largest Credit Rating Company | Delhi,,"Financial Analysis, Credit Rating, Finance, Financial Sector...","Gurgaon, Delhi, Noida",0to3,4577
349,3-6 yrs,Hands on technical experience in development and maintenance of complex Java GUI components using ...,AngularJS Developer - Application Design & Implementation,Analytics,"Javascript, JQuery, Angularjs, Html5, CSS, Node.Js, Adobe Analytics...",Bengaluru,10to15,360
350,4-8 yrs,"- Hands on experience in Data modelling and data analytics tools like, SQL, Tableau and R or Python and ...",Manager/sr. Manager - Analytics - Life & Annuities - Insurance Domain,Analytics,"Text Mining, Machine Learning, R, Data Mining, SAS, Logistic Regression...",Gurgaon,10to15,1970
351,6-10 yrs,,Divisional Quality Excellence Lead - Wires,,"supplier quality, qms, internal audit, wires, six sigma",Coimbatore,15to25,4599
352,0-5 yrs,,Medical Coding - Fresher,,"clinical research, biotechnology, microbiology, zoology, biomedical, bhms...","Bengaluru, Chennai, Hyderabad",0to3,2122
353,0-1 yrs,(4.) To ensure positive customer experience and CSAT through First Call Resolution and minimum average ...,Analyst,,"Accent, Process Compliance, Quality Standards, Customer Experience",Noida,0to3,1806
354,5-10 yrs,- Experience working in a team of analysts with a common goal and will have a strong understanding of ...,Manager - MIS Lead - Analytics - Credit Cards/personal Loans Vertical,Analytics,"Banking, Credit Cards, Personal Loans, MIS Development, Senior Management",Delhi NCR,10to15,1969
355,3-8 yrs,Good Communication and presentation skills;Local Knowledge should be ...,Urgent Requirement For Credit Manager - Vehicle,,"credit, credit analyst, credit manager, credit officer, LCV, HCV...",Patiala,0to3,1292
356,3-5 yrs,"Hands on experience in project life cycle methodologies like waterfall,  hybrid,  agile Scrum etc;Good ...",Software Engineer,,"Shell scripting, Coding, Customer service, Telecommunication...",Hyderabad,6to10,2986
357,1-6 yrs,"-	You need to find the correct balance between on-page optimization, off-page optimization and paid ...",SEO Manager,Analytics,"On - page Optimization, Off - page Optimization, Google Analytics, SEO...",Mumbai(Chakala),3to6,896
358,2-5 yrs,"2 to 5 years of work experience in preparation of investment notes (with financial modelling), driving ...",Analyst- Business Strategy,,"financial modelling, business strategy, finance, feasibility studies...",Mumbai,25to50,304
359,2-6 yrs,Should have done integration of SAS EBI platform with third party tools;Consultant must have be ready ...,SAS Visual Analytics Consultant,Analytics,"SAS Visual Analytics Consultant, SAS, SAS Programming...",Across India,15to25,2503
360,4-6 yrs,"5-6 years of good experience in handling compliance issues, taking actions from a Treating Customers ...",Compliance Lead - Product Based Analytics Company - 4-6yrs - Chennai,Analytics,"ms project, problem solving, compliance issue, operational metrics, jira...",Chennai,3to6,1466
361,0-3 yrs,This position is not for someone that has experience with or loves writing screenshot-based technical ...,Technology Content Writer,,"content writing, technical writing, content management, content designing...",Bengaluru,0to3,4865
362,1-6 yrs,,Scala Programming Language,Analytics,"Shell scripting, Analytics, Business process, Outsourcing, SCALA...",Bengaluru,3to6,190
363,12-18 yrs,- Experience designing and implementing transportation optimization models with focus on volume and ...,Senior Manager Research Scientist - Machine Learning,,"manager research scientist, machine learning, data - modeling...",Bengaluru,15to25,749
364,0-1 yrs,,Urgent Hiring-hr Freshers @eclerx Services Airoli,,excel,Mumbai(Airoli),0to3,4951
365,4-6 yrs,The Senior Quality Assurance Engineer must understand our clients needs and identify how they fit within ...,Senior QA Engineer,,"Quality Assurance Engineering, QA QC Engineer, quality control engineer, qa...",Pune,6to10,1705
366,7-10 yrs,Participate in response to RFPs by supporting sales team when required;8 to 10 years of industry ...,Senior Analyst - Product Management,,"product management, technical documentation, strategy...","Bengaluru, Pune",15to25,1320
367,6-9 yrs,Software development experience;Experience in Accounting / Finance;Experience in SQL (Oracle / SQL ...,Senior Business Analyst,,"SQL Server, Software Development, Oracle SQL, Product Testing...",Pune,15to25,1554
368,1-3 yrs,"Minimum 1-year relevant experience;Exposure with SEO, marketing, Business development, Fabulous ...",Digital Marketing Executive,analytics,"digital marketing, business development, seo, sem, css, html, web analytics...",Delhi NCR(Okhla),0to3,954
369,5-9 yrs,"Previous sales experience in services, with the ability to achieve high conversion rates;Should have ...","Manager / Sr Manager, Business Development & Presales",Analytics,"Sales, Business Development Management, Presales, Client Engagement...",Pune(Kharadi),10to15,3692
370,2-7 yrs,Should be good in Excel;Min 6 months Experience as a Team Leader will be preferred;Should be from ...,TL - Insurance Underwriting (Non - Voice),,"insurance underwriting, underwriting, team leader, back office operations...",Thane,0to3,4140
371,2-4 yrs,"SAS is Mandatory  - Use sophisticated statistical techniques to develop scorecards, customer ...",Senior Business Analyst - Sas/model Development/analytics - KPO,analytics,"Customer Segmentation, Advanced Excel, SQL, Business Analysis...","Bengaluru, Gurgaon",6to10,1969
372,10-15 yrs,,"Manager, Content Writing, Gartner Research & Advisory",,"Web Content, Journalism, Content Writing, Editorial, SEO, Content Strategy,...",Gurgaon,10to15,1682
373,2-6 yrs,"For Senior position, 6  8 years working as an SEO Expert, with at least 2 years in managerial role ...",Hiring for SEO Associate/seo Lead with Digitas,,"SEO, search engine optimization, pay per click, google adwords professional...",Mumbai(Lower Parel),0to3,4256
374,2-5 yrs,,Paytm Hiring for Quality Analyst (non-technical),,"Six Sigma, Green Belt, Process Excellence, Quality Analysis...",Noida,3to6,3094
375,0-2 yrs,"Post-Graduate degree in Finance, Accounting or other similar streams with 6 months -2 years relevant ...",Executive Accounts- Payroll/general Accounting || 6 Months -2 Years,,"Accounting, Finance, General Ledger, Excel, Word, Payroll Processing...",Chandigarh,3to6,4928
376,0-1 yrs,,Walk in - Mba(finance)/mcom Freshers for Business Intelligence role,,"mba finance, business intelligence, MCOM",Bengaluru(Bannerghatta Road),0to3,3874
377,3-6 yrs,,SAP Ariba,Analytics,"SAP MM, Analytics, Outsourcing, Downstream, Operations...",Bengaluru,6to10,190
378,3-8 yrs,- Willingness to stretch & work beyond role boundary;- Should have strong work ethic and positive ...,Data Analyst | 3-5 Years | It-startup | Gurgaon,Analytics,"Data Analysis, Data Analyst, Statistics, Analytics, Data Analytics, Problem...",Gurgaon,3to6,3177
379,3-6 yrs,- Strong SAS/R at least 3 years of experience in SAS and SQL (Mandatory);- Should have analytical ...,Senior Business Analyst - Analytics Firm,Analytics,"sas sql, business analysis, analytics, r, data mining, reject inference...",Bengaluru,10to15,1969
380,6-9 yrs,,Opening for Manager-retail Loans,,"Performance Appraisal, HR, Training, Self Service, Branch Banking...","Bengaluru, Kolkata, Ahmedabad",15to25,1732
381,5-8 yrs,"Experience performing root cause analysis on internal and external data and processes, to answer ...",Immediate Requirement for a Senior Power BI Developer,,"ssrs, ms sql server, ssas, power bi, data warehousing...",Bengaluru,15to25,901
382,3-8 yrs,Should have good knowledge of handling marketing campaigns on social media and to measure the ...,"Digital Marketing Officer / Executive - Patna, Bihar.",analytics,"digital marketing, webtrends, web analytics, google analytics, social media...",Patna,6to10,2161
383,2-5 yrs,,Python Scripting,,"Python, Data mining, Machine learning, Outsourcing, Django, Analytical...",Bengaluru,3to6,190
384,3-8 yrs,,Search Engine Optimization Executive - Bangalore,,"seo, search engine optimization",Bengaluru,6to10,241
385,1-5 yrs,advisory/related internal audit experience (OR) external audit experience in big 4;1 to 5 years of post ...,Urgent Hiring for Sr.consultant Internal Audit for Big4,,"Accounting, Internal Audit, Auditing, Risk Advisory...",Gurgaon,10to15,4777
386,10-15 yrs, 1. Implemented at least 4-5 SQL BI Projects 2. Part of designing and requirements gathering ...,Looking for SR. Architect for one of Leading Analytics Organization,Analytics,"SQL Server, Azure, Design Patterns, Data Reporting, Team Management Skills,...",Bengaluru,15to25,1765
387,10-16 yrs,"-	Experience with complete application development life-cycle including requirements gathering, analysis ...",Practice Manager-cms/sitecore,,"project management, client engagement, business analysis...","Delhi NCR, Gurgaon",15to25,1250
388,2-4 yrs,- Experience of HR Analytics and HRIS preferably in a consulting firm is preferable;Education: Computer ...,Business Analyst - HRIS & HR Systems - FMCG,Analytics,"hr information system, project management, project planning, payroll...","Myanmar (Burma), Yangon",10to15,3110
389,6-11 yrs,Goal driven  should be focused on helping clients meet their requirements  by developing answers and ...,BA (annuities Domain),,"Gap Analysis, Visio, Excel, Data Mapping, Administration, Team Leading...",Hyderabad,15to25,4272
390,0-0 yrs,,Business Analyst,,"technical, business analysis, requirement gathering, ms office, Requirement...",Hyderabad,0to3,4169
391,2-6 yrs,"- Supporting team through problem definition, issue identification and work plan development using ...",Analyst/ Consultant - Sourcing & Procurement,,"Project Management, Spend Management, Supplier Relationship Management, PMO...","Gurgaon, Mumbai",15to25,2884
392,4-7 yrs,"- An experienced and motivated expert in data analytics with hand on experience to perform on-demand, ...",Manager - Analytics - R/sql,Analytics,"Data Analytics, SQL Database, Data Extraction, Root Cause Analysis, Problem...",Mumbai,10to15,4426
393,2-7 yrs," 1 Year experience in Credit underwriting, Credit operation, credit officer, credit manager in any loans ...",Job Openings for Risk Manager in Karnataka Other Location ......apply,,"credit underwriting, credit analysis, credit management, risk management...","Hubli, Hospet, Koppal, Mysore, Shimoga",0to3,4032
394,6-11 yrs,,Digital Marketing Manager  (product Based E Commerce Company),,"smm, seo, search engine optimization, sem, search engine marketing...","Delhi NCR, Mumbai, Hyderabad",6to10,2411
395,5-10 yrs,,SAP SD Sales Order Management,,"Order management, Risk management, Business process, Outsourcing...",Bengaluru,6to10,190
396,5-10 yrs,"* Timing analysis, Sign off & Timing Convergence Execution exp  * Exp with all Aspects ...",STA Lead - Sr. Engineer/ MTS/ SMTS,,"sta, timing, timing closure, timing analysis, primetime, prime time...","Delhi NCR, Bengaluru",15to25,2985
397,2-7 yrs,Location of posting is driven by business requirement;Education Qualification Required: BE/MCA ...,DIS Technology Analyst - Digitial/ecommerce/eai/bpm/services,,"Design Development, Development Testing, Knowledge Management...","Bengaluru, Hyderabad, Chandigarh, Mysore, Trivandrum, Kerala, Karnataka",15to25,1984
398,5-8 yrs,Required Qualifications:B.Com/M.Com/MBA in financeExperience in Finance and Accounting/Reporting ...,"Assistant Manager - Accounting - Hyderabad, TS",,"Assistant Manager - Accounting - Hyderabad, TS",Hyderabad,10to15,3114
399,3-8 yrs,"Manage campaign expenses, estimate monthly costs and achieve maximum ROI from spend;Experience with ...",SMM SMO / Digital Marketing Executive,analytics,"google adwords, keyword research, google analytics, digital marketing, page...",Bengaluru,6to10,2307
400,10-15 yrs,Applicant must have very strong analytical and logical problem-solving skills with an ability to lead ...,Technical Architect - C#/.net,,".Net, C#, Software Engineering, Unit Testing, Technical Design...",Vadodara,25to50,502
401,7-10 yrs,"- Inspire, motivate, develop and lead a team of technology and product management professionals to build ...",Assistant Vice President - Product Management - Tech - IIT,,"Product Management, Product Strategy, Product Marketing, User Experience...",Noida,15to25,4114
402,2-5 yrs,"1)	The candidate should have the experience of AMV of the drug product and drug substance;2)	The ...",Urgent Requirement for Analytical Method Validation,,"HPLC, GC, Dissolution Tester, UV, Analytical Method Validation...",Mumbai(Ambernath),0to3,1357
403,12-15 yrs,5 years of professional experience with a combination of;Experience in the telecommunication sector ...,Architect,,"Business Analyst, Oracle, Informatica, Project management, Agile, Pega...",Bengaluru,15to25,2841
404,2-5 yrs,D Should have knowledge creating mobile views for reports and dashboards;A Should have Minimum 2 years ...,Microsoft Advanced Analytics,Analytics,"microsoft, Business process, Scheduling, Outsourcing, Operations...",Hyderabad,6to10,190
405,5-10 yrs,- Ability to work effectively in cross-functional team environment and willingness to be constantly ...,Financial Analyst - Real Estate,,"finance, management reporting, budgeting, financial analysis, forecasting...",Bengaluru,10to15,4333
406,10-15 yrs,- 10 years+ experience in Software development;- Achieving maximum productivity from team members;- Must ...,Java Architect - MVC/ Spring - Premium Institute,,"Java, Spring Mvc, Hibernate, J2Ee, Maven, Tomcat, Web Services...","Delhi NCR, Gurgaon",25to50,4301
407,5-7 yrs,Experience in controlling information technology budget and deriving positive outcomes;Tech (Information ...,General Manager (IT),,"IT Infrastructure, Data Center Management, IT Management, IT Operations...",Gurgaon,3to6,4242
408,10-15 yrs,- Good knowledge and understanding of Web Service APIs for integration purposes; Skills Required ...,Solution Architect/technology Architect/principle Engineer - Big Data/,,"Spring, Hibernate, J2Ee, Core Java, Hadoop, NoSQL, Spark...",Pune,15to25,2809
409,7-12 yrs,Should be able to influence change & effectively manage stakeholders across the zones;Experience to ...,Business Excellence Lead (black Belt Mandatory),,"business excellence, black belt, automation, minitab, Robotics...",Bengaluru,15to25,3846
